89	200	text/html	https://poshystore.com/images/Beauty%20of%20Joseon%20Relief%20Sun%20Aqua-fresh%20Rice%20%2B%20B5%20SPF50%2B%20PA%2B%2B%20f/1.webp	Beauty of Joseon Relief Sun Aqua-fresh Rice + B5 SPF50+
92	200	text/html	https://poshystore.com/images/products/product_gallery/product_92/img_01.webp	Axis-y package
94	200	text/html	https://poshystore.com/images/18%2024-28%2010%20ANUA%20HEARTLEAF%2070%20DAILY%20LOTION%20/1.webp	Anua Heartleaf 70 Daily Lotion
95	200	text/html	https://poshystore.com/images/products/product_gallery/product_95_main.webp	Anua Heartleaf Pore Control Cleansing Oil Mild
96	200	text/html	https://poshystore.com/images/18%2024-28%2012%20ANUA%20HEARTLEAF%20QUERCETINOL%20%E2%84%A2%20PORE%20DEEP%20CLEANSING%20FOAM%20/1.webp	Anua Heartleaf Quercetinol Pore Deep Cleansing Foam
97	200	text/html	https://poshystore.com/images/products/madagascar_centella_double_cleansing_duo.webp	Madagascar Centella Double Cleansing Duo
100	200	text/html	https://poshystore.com/images/products/product_gallery/product_100/img_01.webp	Dr. Althea 345 Relief Cream
102	200	text/html	https://poshystore.com/images/products/product_gallery/product_102/img_01.webp	Seoul 1988 Eye Cream Retinal Liposome
107	200	text/html	https://poshystore.com/images/The%20Ordinary.%20The%20Lip%20%26%20Lash%20Set/1.webp	The Ordinary Lip & Lash Set
108	200	text/html	https://poshystore.com/images/products/product_gallery/product_108/img_01.webp	The Ordinary Mini Icons Set
114	200	text/html	https://poshystore.com/images/The%20Ordinary.%20VITAMIN%20C%20Ascorbyl%20Glucoside%20Solution%2012%25%20/1.webp	The Ordinary VITAMIN C Ascorbyl Glucoside 12%
115	200	text/html	https://poshystore.com/images/products/product_gallery/product_115/img_01.webp	The Ordinary Alpha Arbutin 2% + HA
119	200	text/html	https://poshystore.com/images/The%20Ordinary.%20AHA%2030%25%20%2B%20BHA%202%25%20Peeling%20Solution/1.webp	The Ordinary AHA 30% + BHA 2% Peeling Solution
121	200	text/html	https://poshystore.com/images/PAULA%27S%20CHOICE%20SKIN%20PEREECTING%202%25%20BHA%20Liquid%20Exfoliant%20SALICYLIC%20ACID%20/1.webp	Paula's Choice 2% Bha Liquid Exfoliant
122	200	text/html	https://poshystore.com/images/33%2042-49%2038%20PanOxyl%E2%84%A2%20Acne%20Creamy%20Wash%20for%20Face%20%26%20Body%204%25%20BENZOYL%20PEROXIDE%20/1.webp	PanOxyl Acne Creamy Wash 4% Benzoyl Peroxide
123	200	text/html	https://poshystore.com/images/products/product_gallery/product_123/img_01.webp	Crest 3D WHITESTRIPS Professional White Kit
125	200	text/html	https://poshystore.com/images/16%2021-25%2041%20Celimax%20RETINAL%20SHOT%20TIGHTENING%20BOOSTER%20/1.webp	Celimax Retinal Shot Tightening Booster
